
 Cta.mayor               4000850000  EMRF CAPEX
 Sociedad                1167

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   Ejerc./mes|Lib.mayor |Material          |Cta.CP    |Texto cab.documento      |Referencia      |Doc.comp. |Nº doc.   |Pos|Asignación        |Texto                              |Div.|Fecha doc.|Fe.contab.|CT|       Importe en ML|       Importe en MD|ML   |Mon. |II|Usuario     |Elemento PEP            |Nombre de la cuenta                |Clave de referencia |         Cantidad| Año|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011366|  4|940179899400002   |Suministro de un Sistema Automátic |    |14.02.2019|14.02.2019|96|          6.377.529-|          6.377.529-|COP  |COP  |  |NH007264    |                        |VERTIV COLOMBIA SAS                |50241749572019      |           0,067-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011366|  6|940179899400003   |Suministro Tarjetas de Control iCOM|    |14.02.2019|14.02.2019|96|         11.224.544-|         11.224.544-|COP  |COP  |  |NH007264    |                        |VERTIV COLOMBIA SAS                |50241749572019      |           0,670-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011366|  8|940179899400004   |Sum Unidad Manejadora de Agua Hela |    |14.02.2019|14.02.2019|96|          8.206.585-|          8.206.585-|COP  |COP  |  |NH007264    |                        |VERTIV COLOMBIA SAS                |50241749572019      |           0,270-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011367|  2|940179895700001   |Sum Equipo Chiller Marca Liebert M |    |14.02.2019|14.02.2019|96|         75.746.448-|         75.746.448-|COP  |COP  |  |NH007264    |                        |VERTIV COLOMBIA SAS                |50241749582019      |           0,067-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011367|  4|940179895700002   |Suministro de un Sistema Automátic |    |14.02.2019|14.02.2019|96|          6.377.529-|          6.377.529-|COP  |COP  |  |NH007264    |                        |VERTIV COLOMBIA SAS                |50241749582019      |           0,067-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011367|  6|940179895700003   |Suministro Tarjetas de Control iCOM|    |14.02.2019|14.02.2019|96|         11.224.544-|         11.224.544-|COP  |COP  |  |NH007264    |                        |VERTIV COLOMBIA SAS                |50241749582019      |           0,670-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011367|  8|940179895700004   |Sum Unidad Manejadora de Agua Hela |    |14.02.2019|14.02.2019|96|          7.902.638-|          7.902.638-|COP  |COP  |  |NH007264    |                        |VERTIV COLOMBIA SAS                |50241749582019      |           0,260-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011369|  2|940188488900001   |Servicios de implementacion        |    |14.02.2019|14.02.2019|96|         35.869.649-|         35.869.649-|COP  |COP  |  |NH007264    |                        |HEWLETT PACKARD COLOMBIA LTDA      |50241753202019      |           1,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011369|  4|940188488900006   |servicios de instalacion y comisio |    |14.02.2019|14.02.2019|96|         33.925.496-|         33.925.496-|COP  |COP  |  |NH007264    |                        |HEWLETT PACKARD COLOMBIA LTDA      |50241753202019      |          11,000-|2019|
|   2018/02   |4000850000|                  |2303000000|                         |                |          |5000011378|  2|940169312000001   |CON-PSRT-ISR4351K                  |    |21.02.2018|21.02.2018|96|          5.012.009-|           1.751,22-|COP  |USD  |  |NH008259    |                        |CISCO SYSTEMS INC                  |50203223462018      |           2,000-|2018|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385|  2|940221479000001   |U-4.8Instalación Acero 60000 psi   |    |14.02.2019|14.02.2019|96|             15.125-|             15.125-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |         360,110-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385|  4|940221479000002   |U-6.1Muros en bloque de arcilla hu |    |14.02.2019|14.02.2019|96|              8.280-|              8.280-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           6,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385|  6|940221479000003   |U-7.6Suministro e Instalación de m |    |14.02.2019|14.02.2019|96|             36.396-|             36.396-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           3,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385|  8|940221479000004   |U-7.9Suministro e instalación de A |    |14.02.2019|14.02.2019|96|            216.600-|            216.600-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          76,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 10|940221479000005   |U-7.12Suministro e Instalaicón de  |    |14.02.2019|14.02.2019|96|             71.940-|             71.940-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          30,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 12|940221479000006   |U-8.8Ventanería en vidrio según de |    |14.02.2019|14.02.2019|96|            124.810-|            124.810-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          14,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 14|940221479000007   |U-8.9Celosía metálica según detall |    |14.02.2019|14.02.2019|96|            211.464-|            211.464-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          18,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 16|940221479000008   |U-9.2Instalación de inodoro        |    |14.02.2019|14.02.2019|96|              4.917-|              4.917-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           3,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 18|940221479000009   |U-9.4Instalación de orinal         |    |14.02.2019|14.02.2019|96|              3.546-|              3.546-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           2,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 20|940221479000010   |U-9.9Instalación grigería en gener |    |14.02.2019|14.02.2019|96|              3.406-|              3.406-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           2,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 22|940221479000011   |U-9.11Instalación Sifón de piso    |    |14.02.2019|14.02.2019|96|              3.265-|              3.265-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           5,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 24|940221479000012   |U-9.13Instalación de lavamanos     |    |14.02.2019|14.02.2019|96|              6.572-|              6.572-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           4,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 26|940221479000013   |U-9.18Dispensador de papel Higiéni |    |14.02.2019|14.02.2019|96|             31.500-|             31.500-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           3,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 28|940221479000014   |U-9.19Dispensador de aire en Acero |    |14.02.2019|14.02.2019|96|             50.126-|             50.126-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           2,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 30|940221479000015   |U-9.20Dispensador de toallas de ma |    |14.02.2019|14.02.2019|96|             18.750-|             18.750-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           3,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 32|940221479000016   |U-9.21Dispensador de jabón en Acer |    |14.02.2019|14.02.2019|96|             29.000-|             29.000-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           4,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 34|940221479000017   |U-9.22Suministro e instalción de e |    |14.02.2019|14.02.2019|96|             15.984-|             15.984-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           3,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 36|940221479000018   |U-10.1Tubería PVC presión RDE 13,5 |    |14.02.2019|14.02.2019|96|             12.441-|             12.441-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          33,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 38|940221479000019   |U-10.10TUBERIA PVC PRESIÓN RDE 9 1 |    |14.02.2019|14.02.2019|96|              9.635-|              9.635-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          41,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 40|940221479000020   |U-10.11TUBERIA PVC PRESIÓN RDE 11  |    |14.02.2019|14.02.2019|96|              4.102-|              4.102-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          14,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 42|940221479000021   |U-10.12TUBERÍA PVC-P RDE 21 2"     |    |14.02.2019|14.02.2019|96|             13.794-|             13.794-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          19,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 44|940221479000022   |U-10.14TUBERÍA PVC-P RDE 21 1 1/4" |    |14.02.2019|14.02.2019|96|              6.513-|              6.513-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          13,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 46|940221479000023   |U-10.15TUBERÍA PVC-P RDE 21 1 1/2" |    |14.02.2019|14.02.2019|96|             13.797-|             13.797-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          27,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 48|940221479000024   |U-10.18ACCESORIO PVC PRESIÓN 1 1/4"|    |14.02.2019|14.02.2019|96|              4.984-|              4.984-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          28,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 50|940221479000025   |U-10.23Registro de Cote 1 1/2"     |    |14.02.2019|14.02.2019|96|             20.252-|             20.252-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           4,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 52|940221479000026   |U-10.24Abrazadera 1/2 "            |    |14.02.2019|14.02.2019|96|                920-|                920-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          20,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 54|940221479000027   |U-10.25Abrazadera 3/4"             |    |14.02.2019|14.02.2019|96|                490-|                490-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          10,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 56|940221479000028   |U-10.26Abrazadera 1 1/4"           |    |14.02.2019|14.02.2019|96|              1.460-|              1.460-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          10,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 58|940221479000029   |U-10.27Abrazadera 1 1/2"           |    |14.02.2019|14.02.2019|96|              1.328-|              1.328-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |           8,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011385| 60|940221479000030   |U-10.28Abrazadera 2 "              |    |14.02.2019|14.02.2019|96|              1.880-|              1.880-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759512019      |          10,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387|  2|940221477100001   |U-10.29Abrazadera 1 "              |    |14.02.2019|14.02.2019|96|                318-|                318-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |           3,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387|  4|940221477100002   |U-10.30PUNTO HIDRÁULICO A.F. LAVAM |    |14.02.2019|14.02.2019|96|             10.570-|             10.570-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |           7,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387|  6|940221477100003   |U-10.31PUNTO HIDRÁULICO A.F. LLAVE |    |14.02.2019|14.02.2019|96|              2.936-|              2.936-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |           2,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387|  8|940221477100004   |U-10.32PUNTO HIDRÁULICO A.F. SANIT |    |14.02.2019|14.02.2019|96|             10.075-|             10.075-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |           5,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 10|940221477100005   |U-10.34PUNTO HIDRÁULICO A.F. ORINA |    |14.02.2019|14.02.2019|96|              7.628-|              7.628-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |           4,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 12|940221477100006   |U-10.36TUBERÍA PVC-S 2"            |    |14.02.2019|14.02.2019|96|             33.019-|             33.019-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          53,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 14|940221477100007   |U-10.37TUBERÍA PVC-S 3"            |    |14.02.2019|14.02.2019|96|             60.830-|             60.830-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          70,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 16|940221477100008   |U-10.38TUBERÍA PVC-S 4"            |    |14.02.2019|14.02.2019|96|            136.220-|            136.220-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          98,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 18|940221477100009   |U-10.41ACCESORIO PVC-S 2"          |    |14.02.2019|14.02.2019|96|              8.500-|              8.500-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          34,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 20|940221477100010   |U-10.42ACCESORIO PVC-S 3"          |    |14.02.2019|14.02.2019|96|             15.008-|             15.008-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          28,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 22|940221477100011   |U-10.43ACCESORIO PVC-S 4"          |    |14.02.2019|14.02.2019|96|             90.900-|             90.900-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |         101,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 24|940221477100012   |U-10.45Abrazadera 2"               |    |14.02.2019|14.02.2019|96|                690-|                690-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |           5,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 26|940221477100013   |U-10.47Abrazadera 4"               |    |14.02.2019|14.02.2019|96|              3.620-|              3.620-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          10,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 28|940221477100014   |U-10.48TUBERÍA PVC-S 2"            |    |14.02.2019|14.02.2019|96|             13.656-|             13.656-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          24,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 30|940221477100015   |U-10.54TRAGANTE CÚPULA ALUMINIO 4x |    |14.02.2019|14.02.2019|96|             20.224-|             20.224-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          16,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 32|940221477100016   |U-10.56SIFÓN  DE PISO 4"           |    |14.02.2019|14.02.2019|96|             40.960-|             40.960-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          16,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 34|940221477100017   |U-10.60Abrazadera 4"               |    |14.02.2019|14.02.2019|96|              7.240-|              7.240-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          20,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 36|940221477100018   |U-10.69Abrazadera 3"               |    |14.02.2019|14.02.2019|96|              2.800-|              2.800-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          10,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 38|940221477100019   |U-10.74PRUEBA DE ESTANQUEIDAD      |    |14.02.2019|14.02.2019|96|              4.620-|              4.620-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |           1,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 40|940221477100020   |U-10.75PRUEBA DE PRESIÓN           |    |14.02.2019|14.02.2019|96|              3.285-|              3.285-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |           1,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 42|940221477100021   |U-10.76MANUAL DE OPERACIÓN Y MANTE |    |14.02.2019|14.02.2019|96|             15.984-|             15.984-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |           1,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 44|940221477100022   |U-11.01SUMINISTRO E INSTALACION  D |    |14.02.2019|14.02.2019|96|             71.368-|             71.368-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          11,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 46|940221477100023   |U-11.0211.02 SUMINISTRO E INSTALAC |    |14.02.2019|14.02.2019|96|          2.612.166-|          2.612.166-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |         282,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 48|940221477100024   |U-11.06INTERRUPTOR SENCILLO        |    |14.02.2019|14.02.2019|96|             29.736-|             29.736-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          59,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 50|940221477100025   |U-11.09SENSORES DE MOVIMIENTO PARA |    |14.02.2019|14.02.2019|96|             53.840-|             53.840-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          20,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 52|940221477100026   |U-11.13TOMAS NORMALES DOBLES       |    |14.02.2019|14.02.2019|96|            159.064-|            159.064-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |         236,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 54|940221477100027   |U-11.15CAJA METÁLICA DE PASO 30X30 |    |14.02.2019|14.02.2019|96|             40.318-|             40.318-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |          19,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 56|940221477100028   |U-11.16TUBERIA METALICA EMT 1/2"X  |    |14.02.2019|14.02.2019|96|            654.480-|            654.480-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |         810,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 58|940221477100029   |U-11.17ACCESORIOS PARA TUBO EMT 1/ |    |14.02.2019|14.02.2019|96|             98.325-|             98.325-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |       1.425,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011387| 60|940221477100030   |U-11.18TUBERIA METALICA EMT 3/4" X |    |14.02.2019|14.02.2019|96|            295.425-|            295.425-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759022019      |         303,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388|  2|940210249200001   |U-1.3Desmonte de cielo raso        |    |14.02.2019|14.02.2019|96|            154.840-|            154.840-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |         632,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388|  4|940210249200002   |U-3.1Excavación del terreno        |    |14.02.2019|14.02.2019|96|            100.050-|            100.050-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |          58,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388|  6|940210249200003   |U-3.3Limpieza y retiro de escombro.|    |14.02.2019|14.02.2019|96|            488.824-|            488.824-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |         344,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388|  8|940210249200004   |U-4.1Cimentación en concreto imper |    |14.02.2019|14.02.2019|96|            413.875-|            413.875-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |          11,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 10|940210249200005   |U-4.3Instalación de estructura met |    |14.02.2019|14.02.2019|96|            798.798-|            798.798-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |      10.374,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 12|940210249200006   |U-4.5Losa en steeldeck o encofrado |    |14.02.2019|14.02.2019|96|             29.520-|             29.520-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |           9,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 14|940210249200007   |U-4.6Concreto 3000 psi             |    |14.02.2019|14.02.2019|96|             22.010-|             22.010-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |           1,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 16|940210249200008   |U-6.1Muros en bloque de arcilla hu |    |14.02.2019|14.02.2019|96|            391.920-|            391.920-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |         284,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 18|940210249200009   |U-6.4Pañete, estuco y pintura de m |    |14.02.2019|14.02.2019|96|            156.512-|            156.512-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |         134,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 20|940210249200010   |U-10.1Tubería PVC presión RDE 13,5 |    |14.02.2019|14.02.2019|96|              6.032-|              6.032-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |          16,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 22|940210249200011   |U-10.2ACCESORIO PVC PRESIÓN 1"     |    |14.02.2019|14.02.2019|96|                786-|                786-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |           6,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 24|940210249200012   |U-10.12TUBERÍA PVC-P RDE 21 2"     |    |14.02.2019|14.02.2019|96|              7.986-|              7.986-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |          11,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 26|940210249200013   |U-10.13TUBERIA PVC PRESIÓN RDE 13, |    |14.02.2019|14.02.2019|96|              4.213-|              4.213-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |          11,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 28|940210249200014   |U-10.20ACCESORIO PVC PRESIÓN 2"    |    |14.02.2019|14.02.2019|96|              1.050-|              1.050-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |           3,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 30|940210249200015   |U-10.21ACCESORIO PVC PRESIÓN 1"    |    |14.02.2019|14.02.2019|96|                555-|                555-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |           3,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 32|940210249200016   |U-10.35PUNTO TAPONADO 1/2"         |    |14.02.2019|14.02.2019|96|              1.706-|              1.706-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |           1,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 34|940210249200017   |U-10.38TUBERÍA PVC-S 4"            |    |14.02.2019|14.02.2019|96|             19.460-|             19.460-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |          14,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 36|940210249200018   |U-10.42ACCESORIO PVC-S 3"          |    |14.02.2019|14.02.2019|96|                536-|                536-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |           1,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 38|940210249200019   |U-10.43ACCESORIO PVC-S 4"          |    |14.02.2019|14.02.2019|96|              1.800-|              1.800-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |           2,000-|2019|
|   2019/02   |4000850000|                  |2302000000|                         |                |          |5000011388| 40|940210249200020   |U-10.50TUBERÍA PVC-S 4"            |    |14.02.2019|14.02.2019|96|              8.974-|              8.974-|COP  |COP  |  |NH007264    |                        |INGEMEC ASOCIADOS LIMITADA         |50241759032019      |           7,000-|2019|
